,day,new_diagnoses,new_deaths,key,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,date
22229,0,0,0,Germany,83019213.0,Europe,,2019-12-31
22228,1,0,0,Germany,83019213.0,Europe,,2020-01-01
22227,2,0,0,Germany,83019213.0,Europe,,2020-01-02
22226,3,0,0,Germany,83019213.0,Europe,,2020-01-03
22225,4,0,0,Germany,83019213.0,Europe,,2020-01-04
22224,5,0,0,Germany,83019213.0,Europe,,2020-01-05
22223,6,0,0,Germany,83019213.0,Europe,,2020-01-06
22222,7,0,0,Germany,83019213.0,Europe,,2020-01-07
22221,8,0,0,Germany,83019213.0,Europe,,2020-01-08
22220,9,0,0,Germany,83019213.0,Europe,,2020-01-09
22219,10,0,0,Germany,83019213.0,Europe,,2020-01-10
22218,11,0,0,Germany,83019213.0,Europe,,2020-01-11
22217,12,0,0,Germany,83019213.0,Europe,,2020-01-12
22216,13,0,0,Germany,83019213.0,Europe,0.0,2020-01-13
22215,14,0,0,Germany,83019213.0,Europe,0.0,2020-01-14
22214,15,0,0,Germany,83019213.0,Europe,0.0,2020-01-15
22213,16,0,0,Germany,83019213.0,Europe,0.0,2020-01-16
22212,17,0,0,Germany,83019213.0,Europe,0.0,2020-01-17
22211,18,0,0,Germany,83019213.0,Europe,0.0,2020-01-18
22210,19,0,0,Germany,83019213.0,Europe,0.0,2020-01-19
22209,20,0,0,Germany,83019213.0,Europe,0.0,2020-01-20
22208,21,0,0,Germany,83019213.0,Europe,0.0,2020-01-21
22207,22,0,0,Germany,83019213.0,Europe,0.0,2020-01-22
22206,23,0,0,Germany,83019213.0,Europe,0.0,2020-01-23
22205,24,0,0,Germany,83019213.0,Europe,0.0,2020-01-24
22204,25,0,0,Germany,83019213.0,Europe,0.0,2020-01-25
22203,26,0,0,Germany,83019213.0,Europe,0.0,2020-01-26
22202,27,0,0,Germany,83019213.0,Europe,0.0,2020-01-27
22201,28,1,0,Germany,83019213.0,Europe,0.00120454,2020-01-28
22200,29,3,0,Germany,83019213.0,Europe,0.00481816,2020-01-29
22199,30,0,0,Germany,83019213.0,Europe,0.00481816,2020-01-30
22198,31,1,0,Germany,83019213.0,Europe,0.0060227,2020-01-31
22197,32,2,0,Germany,83019213.0,Europe,0.00843178,2020-02-01
22196,33,1,0,Germany,83019213.0,Europe,0.00963632,2020-02-02
22195,34,1,0,Germany,83019213.0,Europe,0.01084086,2020-02-03
22194,35,2,0,Germany,83019213.0,Europe,0.01324994,2020-02-04
22193,36,0,0,Germany,83019213.0,Europe,0.01324994,2020-02-05
22192,37,0,0,Germany,83019213.0,Europe,0.01324994,2020-02-06
22191,38,1,0,Germany,83019213.0,Europe,0.01445449,2020-02-07
22190,39,1,0,Germany,83019213.0,Europe,0.01565903,2020-02-08
22189,40,0,0,Germany,83019213.0,Europe,0.01565903,2020-02-09
22188,41,0,0,Germany,83019213.0,Europe,0.01565903,2020-02-10
22187,42,0,0,Germany,83019213.0,Europe,0.01445449,2020-02-11
22186,43,2,0,Germany,83019213.0,Europe,0.01324994,2020-02-12
22185,44,0,0,Germany,83019213.0,Europe,0.01324994,2020-02-13
22184,45,0,0,Germany,83019213.0,Europe,0.0120454,2020-02-14
22183,46,0,0,Germany,83019213.0,Europe,0.00963632,2020-02-15
22182,47,0,0,Germany,83019213.0,Europe,0.00843178,2020-02-16
22181,48,0,0,Germany,83019213.0,Europe,0.00722724,2020-02-17
22180,49,0,0,Germany,83019213.0,Europe,0.00481816,2020-02-18
22179,50,0,0,Germany,83019213.0,Europe,0.00481816,2020-02-19
22178,51,0,0,Germany,83019213.0,Europe,0.00481816,2020-02-20
22177,52,0,0,Germany,83019213.0,Europe,0.00361362,2020-02-21
22176,53,0,0,Germany,83019213.0,Europe,0.00240908,2020-02-22
22175,54,0,0,Germany,83019213.0,Europe,0.00240908,2020-02-23
22174,55,0,0,Germany,83019213.0,Europe,0.00240908,2020-02-24
22173,56,0,0,Germany,83019213.0,Europe,0.00240908,2020-02-25
22172,57,2,0,Germany,83019213.0,Europe,0.00240908,2020-02-26
22171,58,4,0,Germany,83019213.0,Europe,0.00722724,2020-02-27
22170,59,26,0,Germany,83019213.0,Europe,0.03854529,2020-02-28
22169,60,10,0,Germany,83019213.0,Europe,0.0505907,2020-02-29
22168,61,54,0,Germany,83019213.0,Europe,0.11563588,2020-03-01
22167,62,18,0,Germany,83019213.0,Europe,0.13731761,2020-03-02
22166,63,28,0,Germany,83019213.0,Europe,0.17104474,2020-03-03
22165,64,39,0,Germany,83019213.0,Europe,0.21802182,2020-03-04
22164,65,66,0,Germany,83019213.0,Europe,0.29752149,2020-03-05
22163,66,138,0,Germany,83019213.0,Europe,0.46374807,2020-03-06
22162,67,284,0,Germany,83019213.0,Europe,0.80583756,2020-03-07
22161,68,163,0,Germany,83019213.0,Europe,1.00217765,2020-03-08
22160,69,55,0,Germany,83019213.0,Europe,1.06842738,2020-03-09
22159,70,237,2,Germany,83019213.0,Europe,1.35390346,2020-03-10
22158,71,157,0,Germany,83019213.0,Europe,1.54060723,2020-03-11
22157,72,271,1,Germany,83019213.0,Europe,1.86221953,2020-03-12
22156,73,802,2,Germany,83019213.0,Europe,2.79694292,2020-03-13
22155,74,693,0,Germany,83019213.0,Europe,3.61964405,2020-03-14
22154,75,733,3,Germany,83019213.0,Europe,4.43752701,2020-03-15
22153,76,1043,4,Germany,83019213.0,Europe,5.67218097,2020-03-16
22152,77,1174,1,Germany,83019213.0,Europe,7.05258432,2020-03-17
22151,78,1144,0,Germany,83019213.0,Europe,8.38360152,2020-03-18
22150,79,1042,0,Germany,83019213.0,Europe,9.55923299,2020-03-19
22149,80,5940,30,Germany,83019213.0,Europe,16.54797667,2020-03-20
22148,81,4049,2,Germany,83019213.0,Europe,21.08307146,2020-03-21
22147,82,3276,22,Germany,83019213.0,Europe,24.83280587,2020-03-22
22146,83,3311,27,Germany,83019213.0,Europe,28.75478957,2020-03-23
22145,84,4438,32,Germany,83019213.0,Europe,33.81506399,2020-03-24
22144,85,2342,23,Germany,83019213.0,Europe,36.44698487,2020-03-25
22143,86,4954,49,Germany,83019213.0,Europe,42.08784779,2020-03-26
22142,87,5780,55,Germany,83019213.0,Europe,48.08405013,2020-03-27
22141,88,6294,72,Germany,83019213.0,Europe,54.83068118,2020-03-28
22140,89,3965,64,Germany,83019213.0,Europe,58.72375591,2020-03-29
22139,90,4751,66,Germany,83019213.0,Europe,63.19019189,2020-03-30
22138,91,4615,128,Germany,83019213.0,Europe,67.33501557,2020-03-31
22137,92,5453,149,Germany,83019213.0,Europe,72.52538036,2020-04-01
22136,93,6156,140,Germany,83019213.0,Europe,78.68540021,2020-04-02
22135,94,6174,145,Germany,83019213.0,Europe,78.96726267,2020-04-03
22134,95,6082,141,Germany,83019213.0,Europe,81.4160934,2020-04-04
22133,96,5936,184,Germany,83019213.0,Europe,84.620171,2020-04-05
22132,97,3677,92,Germany,83019213.0,Europe,85.0610328,2020-04-06
22131,98,3834,173,Germany,83019213.0,Europe,84.33349037,2020-04-07
22130,99,4003,254,Germany,83019213.0,Europe,86.33423205,2020-04-08
22129,100,4974,246,Germany,83019213.0,Europe,86.35832286,2020-04-09
22128,101,5323,266,Germany,83019213.0,Europe,85.80784788,2020-04-10
22127,102,4133,171,Germany,83019213.0,Europe,83.20483597,2020-04-11
22126,103,2821,129,Germany,83019213.0,Europe,81.8268417,2020-04-12
22125,104,2537,126,Germany,83019213.0,Europe,79.15998915,2020-04-13
22124,105,2082,170,Germany,83019213.0,Europe,76.10888819,2020-04-14
22123,106,2486,285,Germany,83019213.0,Europe,72.53501668,2020-04-15
22122,107,2866,315,Germany,83019213.0,Europe,68.57207861,2020-04-16
22121,108,3380,299,Germany,83019213.0,Europe,65.2065926,2020-04-17
22120,109,3609,242,Germany,83019213.0,Europe,62.22776407,2020-04-18
22119,110,2458,184,Germany,83019213.0,Europe,58.03837239,2020-04-19
22118,111,1775,110,Germany,83019213.0,Europe,55.74733646,2020-04-20
22117,112,1785,194,Germany,83019213.0,Europe,53.27923309,2020-04-21
22116,113,2237,281,Germany,83019213.0,Europe,51.15201465,2020-04-22
22115,114,2352,215,Germany,83019213.0,Europe,47.9937096,2020-04-23
22114,115,2337,227,Germany,83019213.0,Europe,44.39695182,2020-04-24
22113,116,2055,179,Germany,83019213.0,Europe,41.89391677,2020-04-25
22112,117,1737,140,Germany,83019213.0,Europe,40.58819493,2020-04-26
22111,118,1018,110,Germany,83019213.0,Europe,38.75849799,2020-04-27
22110,119,1144,163,Germany,83019213.0,Europe,37.62863905,2020-04-28
22109,120,1304,202,Germany,83019213.0,Europe,36.20487224,2020-04-29
22108,121,1478,173,Germany,83019213.0,Europe,34.5329701,2020-04-30
22107,122,1639,193,Germany,83019213.0,Europe,32.43586518,2020-05-01
22106,123,945,94,Germany,83019213.0,Europe,29.22696942,2020-05-02
22105,124,793,74,Germany,83019213.0,Europe,27.22140958,2020-05-03
22104,125,679,43,Germany,83019213.0,Europe,25.90123325,2020-05-04
22103,126,685,139,Germany,83019213.0,Europe,24.57623876,2020-05-05
22102,127,947,165,Germany,83019213.0,Europe,23.02238158,2020-05-06
22101,128,1284,123,Germany,83019213.0,Europe,21.73593238,2020-05-07
22100,129,1209,147,Germany,83019213.0,Europe,20.37721075,2020-05-08
22099,130,1251,103,Germany,83019213.0,Europe,19.40876023,2020-05-09
22098,131,667,26,Germany,83019213.0,Europe,18.11990196,2020-05-10
22097,132,357,22,Germany,83019213.0,Europe,17.32370072,2020-05-11
22096,133,933,116,Germany,83019213.0,Europe,17.06954269,2020-05-12
22095,134,798,101,Germany,83019213.0,Europe,16.46004522,2020-05-13
22094,135,933,89,Germany,83019213.0,Europe,15.80357067,2020-05-14
22093,136,913,101,Germany,83019213.0,Europe,14.92907431,2020-05-15
22092,137,620,57,Germany,83019213.0,Europe,14.53759866,2020-05-16
22091,138,583,33,Germany,83019213.0,Europe,14.28464517,2020-05-17
22090,139,342,21,Germany,83019213.0,Europe,13.87871504,2020-05-18
22089,140,513,72,Germany,83019213.0,Europe,13.67153408,2020-05-19
22088,141,797,83,Germany,83019213.0,Europe,13.49085301,2020-05-20
22087,142,745,57,Germany,83019213.0,Europe,12.84160571,2020-05-21
22086,143,460,27,Germany,83019213.0,Europe,11.93940492,2020-05-22
22085,144,638,42,Germany,83019213.0,Europe,11.20102162,2020-05-23
22084,145,431,31,Germany,83019213.0,Europe,10.91675008,2020-05-24
22083,146,289,10,Germany,83019213.0,Europe,10.83484133,2020-05-25
22082,147,432,45,Germany,83019213.0,Europe,10.23136656,2020-05-26
22081,148,362,47,Germany,83019213.0,Europe,9.70618693,2020-05-27
22080,149,353,62,Germany,83019213.0,Europe,9.00755347,2020-05-28
22079,150,741,39,Germany,83019213.0,Europe,8.80037251,2020-05-29
22078,151,738,39,Germany,83019213.0,Europe,8.94250828,2020-05-30
22077,152,286,11,Germany,83019213.0,Europe,8.58475977,2020-05-31
22076,153,333,11,Germany,83019213.0,Europe,8.57391891,2020-06-01
22075,154,213,11,Germany,83019213.0,Europe,8.21255677,2020-06-02
22074,155,342,29,Germany,83019213.0,Europe,7.66449087,2020-06-03
22073,156,394,30,Germany,83019213.0,Europe,7.24169717,2020-06-04
22072,157,507,32,Germany,83019213.0,Europe,7.29831057,2020-06-05
22071,158,407,33,Germany,83019213.0,Europe,7.02006173,2020-06-06
22070,159,301,22,Germany,83019213.0,Europe,6.86347147,2020-06-07
22069,160,214,6,Germany,83019213.0,Europe,6.77313094,2020-06-08
22068,161,350,37,Germany,83019213.0,Europe,6.67435862,2020-06-09
22067,162,318,18,Germany,83019213.0,Europe,6.62135884,2020-06-10
22066,163,555,26,Germany,83019213.0,Europe,6.86467601,2020-06-11
22065,164,258,8,Germany,83019213.0,Europe,6.28288298,2020-06-12
22064,165,348,18,Germany,83019213.0,Europe,5.8131122,2020-06-13
22063,166,247,6,Germany,83019213.0,Europe,5.76613512,2020-06-14
22062,167,192,4,Germany,83019213.0,Europe,5.59629492,2020-06-15
22061,168,378,9,Germany,83019213.0,Europe,5.79504409,2020-06-16
22060,169,345,30,Germany,83019213.0,Europe,5.79865772,2020-06-17
22059,170,580,26,Germany,83019213.0,Europe,6.02270224,2020-06-18
22058,171,770,16,Germany,83019213.0,Europe,6.33949638,2020-06-19
22057,172,601,10,Germany,83019213.0,Europe,6.57317722,2020-06-20
22056,173,687,0,Germany,83019213.0,Europe,7.03812984,2020-06-21
22055,174,537,3,Germany,83019213.0,Europe,7.4271964,2020-06-22
22054,175,503,10,Germany,83019213.0,Europe,7.61149109,2020-06-23
22053,176,587,19,Germany,83019213.0,Europe,7.93551247,2020-06-24
22052,177,630,13,Germany,83019213.0,Europe,8.025853,2020-06-25
22051,178,477,21,Germany,83019213.0,Europe,8.28964736,2020-06-26
22050,179,687,6,Germany,83019213.0,Europe,8.69798657,2020-06-27
22049,180,256,3,Germany,83019213.0,Europe,8.70882744,2020-06-28
22048,181,262,4,Germany,83019213.0,Europe,8.79314527,2020-06-29
22047,182,498,12,Germany,83019213.0,Europe,8.93769012,2020-06-30
22046,183,466,12,Germany,83019213.0,Europe,9.08343952,2020-07-01
22045,184,503,9,Germany,83019213.0,Europe,8.9906899,2020-07-02
22044,185,446,9,Germany,83019213.0,Europe,8.6004188,2020-07-03
22043,186,422,7,Germany,83019213.0,Europe,8.38480606,2020-07-04
22042,187,239,2,Germany,83019213.0,Europe,7.84517194,2020-07-05
22041,188,219,4,Germany,83019213.0,Europe,7.46212807,2020-07-06
22040,189,390,8,Germany,83019213.0,Europe,7.326015,2020-07-07
22039,190,397,12,Germany,83019213.0,Europe,7.09715232,2020-07-08
22038,191,442,12,Germany,83019213.0,Europe,6.87069871,2020-07-09
22037,192,395,6,Germany,83019213.0,Europe,6.7719264,2020-07-10
22036,193,378,6,Germany,83019213.0,Europe,6.3997234,2020-07-11
22035,194,248,3,Germany,83019213.0,Europe,6.39008708,2020-07-12
22034,195,159,1,Germany,83019213.0,Europe,6.26601941,2020-07-13
22033,196,412,4,Germany,83019213.0,Europe,6.16242893,2020-07-14
22032,197,351,3,Germany,83019213.0,Europe,6.02390678,2020-07-15
22031,198,534,7,Germany,83019213.0,Europe,6.06124753,2020-07-16
22030,199,583,4,Germany,83019213.0,Europe,6.22626957,2020-07-17
22029,200,529,1,Germany,83019213.0,Europe,6.3551554,2020-07-18
22028,201,202,1,Germany,83019213.0,Europe,6.31058741,2020-07-19
22027,202,249,2,Germany,83019213.0,Europe,6.34672362,2020-07-20
22026,203,522,4,Germany,83019213.0,Europe,6.50572296,2020-07-21
22025,204,454,5,Germany,83019213.0,Europe,6.57438176,2020-07-22
22024,205,569,6,Germany,83019213.0,Europe,6.7273584,2020-07-23
22023,206,815,10,Germany,83019213.0,Europe,7.23326539,2020-07-24
22022,207,781,7,Germany,83019213.0,Europe,7.71869519,2020-07-25
22021,208,305,0,Germany,83019213.0,Europe,7.78735399,2020-07-26
22020,209,340,0,Germany,83019213.0,Europe,8.00537582,2020-07-27
22019,210,633,4,Germany,83019213.0,Europe,8.27157925,2020-07-28
22018,211,684,6,Germany,83019213.0,Europe,8.67269122,2020-07-29
22017,212,902,6,Germany,83019213.0,Europe,9.11596211,2020-07-30
22016,213,870,7,Germany,83019213.0,Europe,9.46166522,2020-07-31
22015,214,955,0,Germany,83019213.0,Europe,9.97479945,2020-08-01
22014,215,240,0,Germany,83019213.0,Europe,10.02057198,2020-08-02
22013,216,509,7,Germany,83019213.0,Europe,10.3337525,2020-08-03
22012,217,879,8,Germany,83019213.0,Europe,10.76377344,2020-08-04
22011,218,741,12,Germany,83019213.0,Europe,11.10947655,2020-08-05
22010,219,1045,7,Germany,83019213.0,Europe,11.6828378,2020-08-06
22009,220,1147,8,Germany,83019213.0,Europe,12.08274523,2020-08-07
22008,221,1122,12,Germany,83019213.0,Europe,12.49349352,2020-08-08
22007,222,555,1,Germany,83019213.0,Europe,12.79462864,2020-08-09
22006,223,436,1,Germany,83019213.0,Europe,12.91026452,2020-08-10
22005,224,966,4,Germany,83019213.0,Europe,13.31137649,2020-08-11
22004,225,1226,6,Germany,83019213.0,Europe,13.96423741,2020-08-12
22003,226,1445,4,Germany,83019213.0,Europe,14.61830287,2020-08-13
22002,227,1449,14,Germany,83019213.0,Europe,15.31573179,2020-08-14
22001,228,1415,6,Germany,83019213.0,Europe,15.8698204,2020-08-15
22000,229,625,0,Germany,83019213.0,Europe,16.33356847,2020-08-16
21999,230,561,1,Germany,83019213.0,Europe,16.39620457,2020-08-17
21998,231,1390,4,Germany,83019213.0,Europe,17.01172474,2020-08-18
21997,232,1510,7,Germany,83019213.0,Europe,17.93801635,2020-08-19
21996,233,1707,10,Germany,83019213.0,Europe,18.73542212,2020-08-20
21995,234,1427,7,Germany,83019213.0,Europe,19.07269345,2020-08-21
21994,235,2034,7,Germany,83019213.0,Europe,20.17123434,2020-08-22
21993,236,782,2,Germany,83019213.0,Europe,20.44466502,2020-08-23
21992,237,711,3,Germany,83019213.0,Europe,20.77591364,2020-08-24
21991,238,1278,5,Germany,83019213.0,Europe,21.15173026,2020-08-25
21990,239,1576,3,Germany,83019213.0,Europe,21.57331942,2020-08-26
21989,240,1507,5,Germany,83019213.0,Europe,21.64800093,2020-08-27
21988,241,1571,3,Germany,83019213.0,Europe,21.79495486,2020-08-28
21987,242,1479,1,Germany,83019213.0,Europe,21.87204545,2020-08-29
21986,243,785,6,Germany,83019213.0,Europe,22.06477192,2020-08-30
21985,244,610,3,Germany,83019213.0,Europe,22.1237944,2020-08-31
21984,245,1218,4,Germany,83019213.0,Europe,21.91661345,2020-09-01
21983,246,1256,11,Germany,83019213.0,Europe,21.61066017,2020-09-02
21982,247,1311,8,Germany,83019213.0,Europe,21.13366216,2020-09-03
21981,248,1453,1,Germany,83019213.0,Europe,21.16498021,2020-09-04
21980,249,1378,2,Germany,83019213.0,Europe,20.37480167,2020-09-05
21979,250,988,1,Germany,83019213.0,Europe,20.62293701,2020-09-06
21978,251,814,0,Germany,83019213.0,Europe,20.74700467,2020-09-07
21977,252,1499,4,Germany,83019213.0,Europe,21.01320811,2020-09-08
21976,253,1176,9,Germany,83019213.0,Europe,20.53139193,2020-09-09
21975,254,1892,3,Germany,83019213.0,Europe,20.99514,2020-09-10
21974,255,1484,1,Germany,83019213.0,Europe,20.89034499,2020-09-11
21973,256,1630,5,Germany,83019213.0,Europe,21.07223059,2020-09-12
21972,257,948,2,Germany,83019213.0,Europe,21.26857069,2020-09-13
21971,258,927,1,Germany,83019213.0,Europe,21.65041001,2020-09-14
21970,259,1407,12,Germany,83019213.0,Europe,21.87806815,2020-09-15
21969,260,1901,6,Germany,83019213.0,Europe,22.65499674,2020-09-16
21968,261,2194,3,Germany,83019213.0,Europe,23.71860596,2020-09-17
21967,262,1916,7,Germany,83019213.0,Europe,24.27630818,2020-09-18
21966,263,2297,6,Germany,83019213.0,Europe,25.38328086,2020-09-19
21965,264,1345,2,Germany,83019213.0,Europe,25.8133018,2020-09-20
21964,265,922,0,Germany,83019213.0,Europe,25.94339216,2020-09-21
21963,266,1821,10,Germany,83019213.0,Europe,26.33125419,2020-09-22
21962,267,1769,13,Germany,83019213.0,Europe,27.04554667,2020-09-23
21961,268,2143,19,Germany,83019213.0,Europe,27.34788633,2020-09-24
21960,269,2153,15,Germany,83019213.0,Europe,28.15372389,2020-09-25
21959,270,2507,9,Germany,83019213.0,Europe,29.21010586,2020-09-26
21958,271,1410,5,Germany,83019213.0,Europe,29.76660355,2020-09-27
21957,272,1192,3,Germany,83019213.0,Europe,30.08580676,2020-09-28
21956,273,2089,11,Germany,83019213.0,Europe,30.90730335,2020-09-29
21955,274,1798,17,Germany,83019213.0,Europe,30.78323568,2020-09-30
21954,275,2503,12,Germany,83019213.0,Europe,31.15543868,2020-10-01
21953,276,2673,8,Germany,83019213.0,Europe,32.0672758,2020-10-02
21952,277,2563,19,Germany,83019213.0,Europe,32.38768356,2020-10-03
21951,278,2279,2,Germany,83019213.0,Europe,33.51272434,2020-10-04
21950,279,1382,5,Germany,83019213.0,Europe,34.06681294,2020-10-05
21949,280,2639,12,Germany,83019213.0,Europe,35.05212703,2020-10-06
21948,281,2828,16,Germany,83019213.0,Europe,36.32773536,2020-10-07
21947,282,4058,16,Germany,83019213.0,Europe,38.63443032,2020-10-08
21946,283,4516,11,Germany,83019213.0,Europe,41.4807594,2020-10-09
21945,284,4721,15,Germany,83019213.0,Europe,44.14761195,2020-10-10
21944,285,3483,11,Germany,83019213.0,Europe,46.6446243,2020-10-11
21943,286,2467,6,Germany,83019213.0,Europe,48.18041337,2020-10-12
21942,287,4122,13,Germany,83019213.0,Europe,50.6292441,2020-10-13
21941,288,5132,43,Germany,83019213.0,Europe,54.64518195,2020-10-14
21940,289,6638,33,Germany,83019213.0,Europe,59.6259567,2020-10-15
21939,290,7334,24,Germany,83019213.0,Europe,65.24031973,2020-10-16
21938,291,7830,33,Germany,83019213.0,Europe,71.58463427,2020-10-17
21937,292,5587,10,Germany,83019213.0,Europe,75.56925407,2020-10-18
21936,293,4325,12,Germany,83019213.0,Europe,79.11421661,2020-10-19
21935,294,6868,47,Germany,83019213.0,Europe,84.20821816,2020-10-20
21934,295,7595,39,Germany,83019213.0,Europe,89.95026248,2020-10-21
21933,296,11287,30,Germany,83019213.0,Europe,98.65788537,2020-10-22
21932,297,11242,49,Germany,83019213.0,Europe,106.75962443,2020-10-23
21931,298,14714,49,Germany,83019213.0,Europe,118.79659712,2020-10-24
21930,299,11176,29,Germany,83019213.0,Europe,128.06312678,2020-10-25
21929,300,8685,24,Germany,83019213.0,Europe,135.55295929,2020-10-26
21928,301,11409,42,Germany,83019213.0,Europe,144.33044553,2020-10-27
21927,302,14964,85,Germany,83019213.0,Europe,156.17348721,2020-10-28
21926,303,16774,89,Germany,83019213.0,Europe,168.38270919,2020-10-29
21925,304,18681,77,Germany,83019213.0,Europe,182.05062965,2020-10-30
21924,305,19059,103,Germany,83019213.0,Europe,195.57641434,2020-10-31
21923,306,14177,29,Germany,83019213.0,Europe,205.92341679,2020-11-01
21922,307,12097,49,Germany,83019213.0,Europe,215.28510515,2020-11-02
21921,308,15352,131,Germany,83019213.0,Europe,225.50442631,2020-11-03
21920,309,17214,151,Germany,83019213.0,Europe,237.09090087,2020-11-04
21919,310,19990,118,Germany,83019213.0,Europe,247.57401639,2020-11-05
21918,311,21506,166,Germany,83019213.0,Europe,259.93741955,2020-11-06
21917,312,23399,130,Germany,83019213.0,Europe,270.39885334,2020-11-07
21916,313,16017,63,Germany,83019213.0,Europe,276.23003364,2020-11-08
21915,314,13363,63,Germany,83019213.0,Europe,281.86487386,2020-11-09
21914,315,15332,154,Germany,83019213.0,Europe,286.59028603,2020-11-10
21913,316,18487,261,Germany,83019213.0,Europe,290.83388203,2020-11-11
21912,317,21866,215,Germany,83019213.0,Europe,296.96740199,2020-11-12
21911,318,23542,218,Germany,83019213.0,Europe,302.82267311,2020-11-13
21910,319,22461,178,Germany,83019213.0,Europe,306.92051971,2020-11-14
21909,320,16947,107,Germany,83019213.0,Europe,310.25709675,2020-11-15
21908,321,10824,62,Germany,83019213.0,Europe,308.72371676,2020-11-16
21907,322,14419,267,Germany,83019213.0,Europe,307.59988052,2020-11-17
21906,323,17561,305,Germany,83019213.0,Europe,308.01785606,2020-11-18
21905,324,22609,251,Germany,83019213.0,Europe,311.17254749,2020-11-19
21904,325,23648,260,Germany,83019213.0,Europe,313.75267313,2020-11-20
21903,326,22964,254,Germany,83019213.0,Europe,313.22869804,2020-11-21
21902,327,15741,138,Germany,83019213.0,Europe,312.89624487,2020-11-22
21901,328,10864,90,Germany,83019213.0,Europe,309.88609829,2020-11-23
21900,329,13554,249,Germany,83019213.0,Europe,307.74442538,2020-11-24
21899,330,18633,410,Germany,83019213.0,Europe,307.92028828,2020-11-25
21898,331,22268,389,Germany,83019213.0,Europe,308.40451354,2020-11-26
21897,332,22806,426,Germany,83019213.0,Europe,307.51797177,2020-11-27
21896,333,21695,379,Germany,83019213.0,Europe,306.59529379,2020-11-28
21895,334,14611,158,Germany,83019213.0,Europe,303.7814873,2020-11-29
21894,335,11169,125,Germany,83019213.0,Europe,304.19705376,2020-11-30
21893,336,13604,388,Germany,83019213.0,Europe,303.21535329,2020-12-01
21892,337,17270,487,Germany,83019213.0,Europe,302.86483202,2020-12-02
21891,338,22046,479,Germany,83019213.0,Europe,302.18667575,2020-12-03
21890,339,23448,432,Germany,83019213.0,Europe,301.94576766,2020-12-04
21889,340,23318,483,Germany,83019213.0,Europe,302.37217498,2020-12-05
21888,341,17767,255,Germany,83019213.0,Europe,304.81257393,2020-12-06
21887,342,12332,147,Germany,83019213.0,Europe,306.58083931,2020-12-07
21886,343,14055,423,Germany,83019213.0,Europe,307.18431407,2020-12-08
21885,344,20815,590,Germany,83019213.0,Europe,309.81262133,2020-12-09
21884,345,23679,440,Germany,83019213.0,Europe,311.5122279,2020-12-10
21883,346,29875,598,Germany,83019213.0,Europe,320.02712432,2020-12-11
21882,347,28438,496,Germany,83019213.0,Europe,328.14934056,2020-12-12
21881,348,20200,321,Germany,83019213.0,Europe,334.88151713,2020-12-13
21880,349,16362,188,Germany,83019213.0,Europe,341.13669567,2020-12-14
